StateIndex,Frequency
616,4
617,2
618,3
619,2
620,3
621,2
622,8
623,1
624,2
625,4
626,1
628,3
629,1
630,2
631,1
632,4
633,2
636,2
637,4
638,2
639,2
641,3
643,3
644,2
645,1
646,4
647,3
648,3
649,1
650,4
651,3
652,1
653,1
654,3
656,4
657,2
658,4
659,1
660,1
661,2
662,1
663,2
664,2
665,5
666,6
668,1
669,6
670,2
671,3
1400,3
1401,1
1402,3
1403,5
1404,4
1405,8
1406,2
1407,3
1408,2
1409,1
1410,2
1411,3
1412,5
1413,5
1414,2
1415,3
1417,4
1418,2
1419,2
1420,1
1421,1
1422,2
1423,2
1424,6
1425,4
1426,5
1427,4
1428,5
1429,1
1430,3
1431,5
1432,5
1433,5
1434,5
1435,3
1436,3
1437,1
1438,2
1439,4
1441,2
1442,1
1443,1
1446,2
1447,2
1448,4
1449,4
1450,5
1451,1
1452,2
1453,2
1454,6
1455,4
1456,5
1457,5
1459,3
1460,2
1461,2
1462,4
1463,3
1464,1
1466,1
1467,3
1468,2
1470,1
1471,1
1472,4
1474,3
1475,1
1476,4
1477,4
1478,3
1479,5
1480,1
1481,2
1482,2
1483,3
1485,3
1486,4
1487,2
1488,5
1490,4
1491,3
1494,2
1495,4
1496,6
1497,3
1498,3
1499,4
1500,2
1502,3
1503,2
1504,5
1505,2
1506,2
1507,1
1508,4
1509,3
1510,2
1511,7
1680,4
1681,4
1682,1
1683,4
1684,1
1685,4
1686,4
1687,2
1688,5
1689,1
1690,5
1691,3
1693,2
1694,4
1695,3
1696,1
1697,1
1698,4
1699,1
1700,2
1701,2
1702,1
1703,2
1704,2
1705,2
1706,6
1707,2
2212,3
2213,8
2214,5
2215,3
2216,7
2217,3
2218,8
2219,3
2220,3
2221,5
2222,4
2223,3
2224,5
2225,5
2226,3
2227,8
2228,6
2229,4
2230,3
2231,2
2232,6
2233,5
2234,3
2235,5
2236,4
2237,4
2238,7
2239,8
2240,3
2241,5
2242,2
2243,2
2244,3
2245,5
2246,2
2248,6
2249,1
2250,1
2251,2
2252,3
2253,3
2254,4
2255,2
2256,2
2257,2
2258,4
2259,7
2260,5
2261,2
2262,2
2263,3
2264,2
2265,4
2266,2
2267,1
2268,5
2269,1
2270,1
2271,2
2272,4
2273,8
2275,2
2276,4
2278,2
2279,3
2280,3
2281,3
2282,2
2283,1
2284,5
2285,3
2286,2
2287,2
2288,3
2289,4
2290,1
2291,2
2292,4
2293,3
2294,3
2295,3
2296,5
2297,3
2298,2
2299,1
2300,2
2301,1
2302,5
2303,2
2304,1
2305,2
2306,2
2307,2
2308,2
2309,2
2310,1
2311,5
2312,2
2313,7
2314,3
2315,6
2316,2
2317,3
2318,4
2319,3
2320,4
2321,4
2322,2
2324,7
2325,7
2326,10
2327,8
2328,5
2329,4
2330,6
2331,3
2332,5
2333,9
2334,4
2335,3
2337,6
2338,5
2339,6
2340,8
2341,5
2342,7
2343,5
2344,8
2345,6
2346,3
2347,2
2348,5
2349,6
2350,6
2351,9
2492,2
2493,4
2494,4
2495,2
2496,1
2497,2
2498,3
2500,2
2502,3
2504,1
2505,3
2507,4
2509,3
2510,2
2512,2
2513,3
2514,3
2515,3
2516,1
2517,5
2518,3
2519,2
2520,2
2521,4
2522,3
2523,2
2524,3
2525,4
2526,1
2527,1
2528,2
2529,2
2530,1
2532,6
2533,3
2534,4
2536,1
2537,3
2538,1
2539,1
2540,4
2541,3
2542,5
2543,1
2544,2
2545,3
2546,3
2547,1
2549,1
2550,1
2551,2
2553,4
2554,5
2555,3
2556,1
2557,1
2558,2
2559,4
2560,1
2561,2
2563,2
2564,2
2565,1
2566,1
2568,3
2569,1
2570,5
2571,2
2572,2
2573,6
2574,1
2575,6
2577,2
2578,4
2579,2
2580,7
2581,3
2582,2
2583,3
2584,1
2585,1
2587,1
2588,1
2589,3
2590,1
2592,2
2593,2
2594,2
2595,3
2596,1
2598,5
2599,3
2600,2
2601,2
2602,2
2603,2
2968,3
2970,1
2971,3
2972,5
2973,4
2974,1
2975,2
2976,1
2977,1
2979,4
2980,1
2981,1
2982,1
2983,5
2984,3
2985,3
2986,3
2987,3
2988,1
2989,3
2990,3
2991,3
2992,4
2993,5
2994,2
2995,6
2996,2
2997,2
2999,2
3000,3
3001,6
3002,3
3004,2
3005,3
3006,2
3007,3
3008,2
3009,2
3012,3
3013,2
3014,5
3015,2
3016,3
3019,1
3020,2
3021,1
3022,3
3023,3
3024,7
3025,7
3026,3
3027,6
3028,9
3029,4
3030,11
3031,7
3032,1
3033,2
3034,4
3035,5
3036,3
3037,5
